scientificName;islandPresence;law;euLaw;
Agrostis barceloi;Ma;Decret 75/2005;;X
Apium bermejoi;Me;Listado RD 139/2011;Hàbitats (A2);X
Arenaria bolosii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Cotoneaster majoricensis;Ma;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);;X
Euphorbia fontqueriana;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Gymnadenia conopsea;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ligusticum huteri;Ma;Decret 75/2005;;X
Limonium barceloi;Ma;Decret 75/2005;;X
Limonium boirae;Ma;Resolució CMA 12/04/2007 (BOIB 64, 28/04/2007);;X
Limonium carvalhoi;Ma;Resolució CMA 12/04/2007 (BOIB 64, 28/04/2007);;X
Limonium ejulabilis;Ma;Resolució CMA 12/04/2007 (BOIB 64, 28/04/2007);;X
Limonium inexpectans;Ma;Resolució CMA 12/04/2007 (BOIB 64, 28/04/2007);;X
Limonium pseudodyctiocladum;Ma;Listado RD 139/2011;; 
Lysimachia minoricensis;Me;Listado RD 139/2011;;
Malva minoricensis (abans Lavatera triloba subsp;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Naufraga balearica;Ma;Listado RD 139/2011;Hàbitats (A2);
Orchis cazorlensis;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;X
Pinus pinaster;Me;Decret 75/2005;;X
Thymus herba-barona subsp. bivalens;Ma;Decret 75/2005;;
Pinna nobilis (Situació Crítica);All islands;Orden TEC/596/2019;Hàbitats (A4);
Alytes muletensis;Ma;Listado RD 139/2011;Hàbitats (A2, A4), Berna (A3);X
Bufo balearicus (Pob. Eivissenca);Ei;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);Hàbitats (A4), Berna (A2);X
Aquila fasciata;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);Aus (A1);X
Aythya nyroca;divagant;Listado RD 139/2011;Aus (A1);
Botaurus stellaris;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);X
Emberiza schoeniclus witherbyi;Ma;Listado RD 139/2011;Berna (A2);
Fulica cristata;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);X
Marmaronetta angustirostris (Situació Crítica);Ma, Ei;Listado RD 139/2011;Aus (A1), Berna (A2);X
Milvus milvus;Ma, Me;Listado RD 139/2011;Aus (A1);X
Oxyura leucocephala;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);X
Puffinus mauretanicus;All islands;Listado RD 139/2011;Aus (A1);X
Monachus monachus;+ a totes;Listado RD 139/2011;Hàbitats (A2, A4), Berna (A2), Barc. (A2);
Myotis capaccinii;Ma, Me;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Ziphius cavirostris;All islands;Orden TEC/596/2019;Berna (A3), Barc. (A2);
Allium grosii;Ei;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Brimeura duvigneaudii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Biscutella ebusitana;Ei, Fo;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Cephalanthera rubra;Ma;Decret 75/2005;;
Daphne rodriguezii;Me;Listado RD 139/2011;Hàbitats (A2), Berna (A1);
Delphinium pentagynum subsp. formenteranum;Fo;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);;
Euphorbia margalidiana;Ei;Listado RD 139/2011;Hàbitats (A2);X
Femeniasia balearica;Me;Listado RD 139/2011;Hàbitats (A2), Berna (A1);X
Helianthemum caput-felis;Ma;Listado RD 139/2011;Hàbitats (A2), Berna (A1);
Isoetes histrix (Població mallorquina);Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Medicago citrina;Ei, Ca;Listado RD 139/2011;;
Neottia nidus-avis;Ma;Decret 75/2005;;
Orchis palustris;Ma;Decret 75/2005;;X
Pilularia minuta;Me;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Ranunculus weyleri;Ma;Listado RD 139/2011;Hàbitats (A2), Berna (A1);X
Saxifraga corsica subsp. cossoniana;Ei, Fo;Decret 75/2005;;
Silene hifacensis;E;Listado RD 139/2011;Hàbitats (A2), Berna (A1);
Thymus richardii subsp. richardii;Ma;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;X
Vicia bifoliolata;Me;Listado RD 139/2011;Hàbitats (A2);X
Akis bremeri;Fo;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);;
Charonia lampas lampas;All islands;Listado RD 139/2011;Barc. (A2);
Dendropoma petraeum;;Listado RD 139/2011;Barc. (A2);
Gasterosteus gymnurus;Ma;Resolució CMA 22/07/2013 (BOIB 124, 07/09/2013);;
Caretta caretta;All islands;Listado RD 139/2011;Hàbitats (A2, A4), Berna (A2);
Podarcis lilfordi;Ma, Me;Decret Llei 1/2023 30/01/2023 (BOIB 15, 02/02/2023);Hàbitats (A2, A4), Berna (A2);X
Podarcis pityusensis;Ei, Fo;Decret Llei 1/2023 30/01/2023 (BOIB 15, 02/02/2023);Hàbitats (A2, A4);X
Testudo graeca;Ma;Listado RD 139/2011 i Decret 75/2005;Hàbitats (A2, A4), Berna (A2);X
Aegypius monachus;Ma;Listado RD 139/2011;Aus (A1);X
Aquila fasciata;Ma;Listado RD 139/2011;Aus (A1);X
Ardeola ralloides;Ma;Listado RD 139/2011;Aus (A1), Berna (A2);X
Calonectris diomedea;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);
Circus pygargus;Ma;Listado RD 139/2011;Aus (A1);
Charadrius morinellus;;Listado RD 139/2011;Aus (A1), Berna (A2);
Emberiza schoeniclus witherbyi;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Berna (A2);
Larus audouinii;All islands;Listado RD 139/2011;Aus (A1), Berna (A2);X
Merops apiaster ;Ma, Me, Ei;Resolució CMA 23/10/2017 (BOIB 131, 26/10/2017);;
Neophron percnopterus;Ma, Me;Listado RD 139/2011;Aus (A1);X
Pandion haliaetus;Ma, Me, Ei;Listado RD 139/2011;Aus (A1);X
Phalacrocorax aristotelis;All islands;Listado RD 139/2011;Aus (A1);X
Phoenicurus phoenicurus;totes (no cria);Listado RD 139/2011;Berna (A3);
Balaenoptera physalus;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Delphinus delphis;All islands;Listado RD 139/2011;Berna (A2), Barc. (A2);
Globicephala melas;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Miniopterus schreibersii;Ma, Me, Ca;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Myotis emarginatus;Me;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Myotis myotis;Ma, Me;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Physeter macrocephalus;All islands;Listado RD 139/2011;Berna (A3), Barc. (A2);
Plecotus austriacus;All islands;Listado RD 139/2011;Hàbitats (A4), Berna (A2);
Rhinolophus ferrumequinum;Ma, Me, Fo;Listado RD 139/2011;Hàbitats (A2), Berna (A2);X
Tursiops truncatus;All islands;Listado RD 139/2011;Hàbitats (A2), Berna (A2), Barc. (A2);
Anthyllis hystrix;Me;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Hàbitats (A2);
Diplotaxis ibicensis;Ma, Ei, Fo, Ca, Dra;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Hàbitats (A2);
Helianthemum caput-felis;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);Hàbitats (A2), Berna (A1);
Isoetes histrix (Població menorquina);Me;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Marsilea strigosa;Ma, Me;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008) i Li;Hàbitats (A2);
Rhamnus ludovici-salvatoris (Pobl.menorquina);Ma, Me i Ca;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Allognathus graellsianus;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Xerocrassa caroli;Ei, Fo;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Xerocrassa claudinae;Ma;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Xerocrassa ebusitana;Ei, Fo;Resolució CMA 14/04/2008 (BOIB 66, 15/05/2008);;
Allium grosii;Ei;Listado RD 139/2011;;
Anthyllis hystrix;Me;Listado RD 139/2011;Hàbitats (A2);
Carduncellus dianius;Ei;Listado RD 139/2011;;
Caulerpa ollivieri;;Listado RD 139/2011;;
Crepis pusilla;Ma;Listado RD 139/2011;Hàbitats (A2);
Cymodocea nodosa;All islands;Listado RD 139/2011;Hàbitats (A1), Berna (A1) ;
